Input;HMD;TimeInitTutorial;TimeEndTutorial;TimeInitPractice;TimeEndPractice;VisModeID;TaskID;TimeInitTask;TimeEndTask;UserAnswerID;CorrectAnswerID;NumAnswers;NumCorrectAnswers;SubspacesName;InteractionMode;Controller;TimeGrab;TimeScale;Selects;Q1;Q2;Q3;TimeEndExperiment;TimeHMDRemoved;TimeHMDRecovery;TimeCloseApplication
13;oculus_touch;20200828102343;;;;;;;;;;;;;hand;left;0;0;0;;;;;;20200828102350;
13;oculus_touch;20200828102343;;;;;;;;;;;;;ray;left;0;0;0;;;;;;20200828102350;
13;oculus_touch;20200828102343;;;;;;;;;;;;;hand;right;0;0;0;;;;;;20200828102350;
13;oculus_touch;20200828102343;;;;;;;;;;;;;ray;right;0;0;0;;;;;;20200828102350;
13;oculus_touch;20200828102343;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200828102353;20200828102350;
13;oculus_touch;20200828102343;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200828102353;20200828102350;
13;oculus_touch;20200828102343;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200828102353;20200828102350;
13;oculus_touch;20200828102343;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200828102353;20200828102350;
13;oculus_touch;20200828102343;;;;;;;;;;;;;hand;left;0;0;0;;;;;20200828102353;20200828102355;
13;oculus_touch;20200828102343;;;;;;;;;;;;;ray;left;0;0;0;;;;;20200828102353;20200828102355;
13;oculus_touch;20200828102343;;;;;;;;;;;;;hand;right;0;0;0;;;;;20200828102353;20200828102355;
13;oculus_touch;20200828102343;;;;;;;;;;;;;ray;right;0;0;0;;;;;20200828102353;20200828102355;
13;oculus_touch;20200828102343;20200828103108;;;;;;;;;;;;hand;left;2.557014;8.122416;0;;;;;20200828102353;20200828102355;
13;oculus_touch;20200828102343;20200828103108;;;;;;;;;;;;ray;left;7.354737;3.25455;0;;;;;20200828102353;20200828102355;
13;oculus_touch;20200828102343;20200828103108;;;;;;;;;;;;hand;right;10.91926;8.100073;0;;;;;20200828102353;20200828102355;
