Time;Phase;Step;Task;Vis;AreaX;AreaZ;AreaTotal;PositionXPlayer;PositionZPlayer;PositionXHead;PositionYHead;PositionZHead;RotationHead
20200818152609;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152611;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152613;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152615;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152617;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152619;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152621;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152623;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152625;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152627;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152629;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152631;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152633;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152635;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152637;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152639;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152641;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152643;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152645;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152647;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152649;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152651;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152653;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152655;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152657;0;0;;;0,6875;0,5875;1,615625;0;0;0;0;0;(0,0, 0,0, 1,0)
20200818152659;0;0;;;0,6875;0,5875;1,615625;0;0;0,1333022;1,421462;-0,2140161;(0,2, 0,6, 0,7)
20200818152701;0;0;;;0,6875;0,5875;1,615625;0;0;0,1416639;1,420491;-0,2173032;(0,3, 0,7, 0,6)
20200818152703;0;0;;;0,6875;0,5875;1,615625;0;0;0,1639485;1,396242;-0,1479341;(0,3, 0,5, 0,8)
20200818152705;0;0;;;0,6875;0,5875;1,615625;0;0;0,1404721;1,409323;-0,3017282;(0,3, 0,8, 0,6)
20200818152707;0;0;;;0,6875;0,5875;1,615625;0;0;0,1058509;1,393063;-0,2458706;(-0,1, 0,5, 0,9)
20200818152709;0;0;;;0,6875;0,5875;1,615625;0;0;0,1286602;1,389083;-0,2399216;(0,2, 0,4, 0,9)
20200818152711;0;0;;;0,6875;0,5875;1,615625;0;0;0,1712456;1,393768;-0,2299555;(0,6, 0,5, 0,6)
20200818152713;0;0;;;0,6875;0,5875;1,615625;0;0;0,1693713;1,390476;-0,2296941;(0,5, 0,5, 0,7)
20200818152715;0;0;;;0,6875;0,5875;1,615625;0;0;0,1257989;1,376986;-0,1886109;(0,2, 0,4, 0,9)
20200818152717;0;0;;;0,6875;0,5875;1,615625;0;0;0,1197582;1,42608;-0,2811341;(0,4, 0,8, 0,5)
20200818152719;0;0;;;0,6875;0,5875;1,615625;0;0;0,1552473;1,419784;-0,2456737;(0,4, 0,7, 0,5)
20200818152721;0;0;;;0,6875;0,5875;1,615625;0;0;0,1600929;1,413832;-0,2342741;(0,4, 0,7, 0,5)
20200818152723;0;0;;;0,6875;0,5875;1,615625;0;0;0,1618981;1,413976;-0,2329703;(0,4, 0,7, 0,5)
20200818152725;0;0;;;0,6875;0,5875;1,615625;0;0;0,1632972;1,416294;-0,2327679;(0,4, 0,7, 0,5)
20200818152727;0;0;;;0,6875;0,5875;1,615625;0;0;0,1607773;1,419103;-0,239405;(0,4, 0,8, 0,5)
20200818152729;0;0;;;0,6875;0,5875;1,615625;0;0;0,1692735;1,408856;-0,2040048;(0,4, 0,7, 0,6)
20200818152731;0;0;;;0,6875;0,5875;1,615625;0;0;0,1590273;1,358279;-0,1610605;(0,2, 0,2, 1,0)
20200818152733;0;0;;;0,6875;0,5875;1,615625;0;0;0,1477354;1,341138;-0,13422;(0,2, 0,1, 1,0)
20200818152735;0;0;;;0,6875;0,5875;1,615625;0;0;0,1773367;1,356344;-0,113385;(0,2, 0,2, 1,0)
20200818152737;0;0;;;0,6875;0,5875;1,615625;0;0;0,1811079;1,360356;-0,1022631;(0,3, 0,3, 0,9)
20200818152739;0;0;;;0,6875;0,5875;1,615625;0;0;0,159248;1,35798;-0,1585378;(0,2, 0,2, 1,0)
